Rk,Player,Age,Team,Pos,G,GS,MP,TS%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,VALUE,AAV,ACE
51,Nikola Jokić,30,DEN,C,57,57,1983,0.675,30.7,10.1,3,13.1,0.316,10.2,4.2,14.4,8.2,3.942528519,58.98373984,58983739.84
42,Shai Gilgeous-Alexander,27,OKC,PG,60,60,2003,0.666,33.4,10,3.8,13.8,0.331,8.9,3.1,12,7,3.431891521,57.96747967,57967479.67
152,Luka Dončić,26,LAL,PG,60,60,2153,0.613,38,6.3,2.7,9,0.2,8,1.3,9.3,6.2,2.75436528,56.95121951,56951219.51
72,Victor Wembanyama,22,SAS,C,57,48,1667,0.62,31.9,3.8,4.4,8.2,0.236,5.7,4,9.6,4.9,2.196852052,55.93495935,55934959.35
88,Kawhi Leonard,34,LAC,SF,56,56,1803,0.632,33.8,5.8,2.4,8.2,0.217,7.5,0.8,8.3,4.7,2.13908006,54.91869919,54918699.19
113,Tyrese Maxey,25,PHI,PG,61,61,2334,0.589,29.8,5.5,2.5,7.9,0.163,5.3,0.6,5.9,4.6,1.984121841,53.90243902,53902439.02
65,Cade Cunningham,24,DET,PG,61,61,2096,0.567,30.6,4.3,3.5,7.8,0.178,4.9,1.5,6.5,4.5,1.905020367,52.88617886,52886178.86
69,Kevin Durant,37,HOU,SF,68,68,2480,0.639,27.1,6.2,2.7,8.9,0.172,4,0,4.1,3.8,1.714410235,51.8699187,51869918.7
137,Donovan Mitchell,29,CLE,SG,63,63,2116,0.611,32.5,5.4,2.3,7.6,0.173,5.4,-0.2,5.2,3.9,1.670990241,50.85365854,50853658.54
112,Jamal Murray,28,DEN,PG,68,68,2381,0.613,28.2,6.7,1.5,8.2,0.165,5.2,-1.4,3.8,3.5,1.610655878,49.83739837,49837398.37
6,Jalen Duren,22,DET,C,61,61,1692,0.677,23.7,6,3.3,9.3,0.264,4.4,0.3,4.7,2.9,1.544517286,48.82113821,48821138.21
120,Anthony Edwards,24,MIN,SG,58,58,2061,0.621,31.6,4.2,2.6,6.7,0.157,5,-0.1,4.9,3.6,1.478980944,47.80487805,47804878.05
168,James Harden,36,2TM,PG,62,62,2170,0.611,29.3,5.2,1.8,7,0.154,4.9,-0.8,4.1,3.3,1.430797603,46.78861789,46788617.89
52,Jalen Johnson,24,ATL,SF,63,63,2219,0.583,27.1,3.4,3.4,6.8,0.146,3,1.4,4.4,3.6,1.398571126,45.77235772,45772357.72
93,Jalen Brunson,29,NYK,PG,67,67,2339,0.581,30.4,5.9,2.1,8,0.165,4,-1,3,2.9,1.321302189,44.75609756,44756097.56
205,Kon Knueppel,20,CHO,SF,71,70,2231,0.65,22.3,5.5,2.1,7.6,0.164,3.7,-0.3,3.3,3,1.27510957,43.7398374,43739837.4
67,Chet Holmgren,23,OKC,PF,62,62,1816,0.649,21.9,4,4.2,8.2,0.217,2.3,1.7,4,2.7,1.237978175,42.72357724,42723577.24
195,Derrick White,31,BOS,SG,68,68,2331,0.53,22.9,3.3,3.2,6.5,0.134,2.6,1.1,3.7,3.4,1.216183286,41.70731707,41707317.07
64,Karl-Anthony Towns,30,NYK,C,68,68,2110,0.614,26,4.9,3.7,8.6,0.195,2.4,0.4,2.8,2.6,1.204528608,40.69105691,40691056.91
29,Alperen Şengün,23,HOU,C,62,62,2077,0.564,26.9,3.3,3.1,6.4,0.147,2.5,1.3,3.8,3,1.174658007,39.8699187,39869918.7
100,Deni Avdija,25,POR,SF,57,57,1892,0.598,29.3,3.8,1.9,5.7,0.145,3.8,0.3,4.1,2.9,1.16561658,39.46341463,39463414.63
46,Jaylen Brown,29,BOS,SF,64,64,2189,0.572,36.1,3.3,3,6.3,0.139,3.7,-0.1,3.7,3.1,1.165462353,39.05691057,39056910.57
38,Scottie Barnes,24,TOR,PF,69,69,2346,0.577,23.6,2.7,3.8,6.5,0.134,1.5,2.1,3.6,3.3,1.156812819,38.6504065,38650406.5
197,LaMelo Ball,24,CHO,PG,62,59,1706,0.542,32.1,2.9,2.2,5.1,0.142,4.5,-0.1,4.4,2.8,1.062526057,38.24390244,38243902.44
30,Amen Thompson,23,HOU,PG,69,69,2564,0.586,20.2,5.1,3.2,8.3,0.155,1.4,0.9,2.2,2.7,1.017165377,37.83739837,37837398.37
