Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional
1,Amen Thompson,23,HOU,PG,64,64,2371,18.3,.581,.122,.373,8.7,14.1,11.4,20.8,2.0,1.5,14.1,20.2,4.6,2.9,7.5,.152,1.3,0.9,2.2,2.5,,thompam01
2,Tyrese Maxey,25,PHI,PG,61,61,2334,22.6,.589,.406,.279,0.8,11.3,5.9,29.7,2.6,2.0,9.0,29.9,5.6,2.4,8.0,.164,5.3,0.5,5.8,4.5,AS,maxeyty01
3,Kevin Durant,37,HOU,SF,63,63,2298,21.0,.634,.321,.335,1.8,14.8,8.3,19.7,1.2,2.3,13.4,27.2,5.9,2.5,8.4,.176,4.1,0.1,4.2,3.6,AS,duranke01
4,Mikal Bridges,29,NYK,SF,68,68,2280,15.7,.587,.429,.101,3.3,10.3,6.8,16.3,2.0,2.5,7.6,17.5,4.1,3.0,7.1,.149,1.5,1.6,3.1,3.0,,bridgmi01
5,Toumani Camara,25,POR,PF,67,67,2242,10.3,.554,.665,.159,5.1,12.4,8.7,10.7,1.5,1.1,14.0,16.2,0.9,1.8,2.7,.058,-1.6,-0.4,-2.0,0.0,,camarto01
6,Desmond Bane,27,ORL,SG,65,65,2228,17.3,.610,.346,.274,3.9,9.6,6.7,19.6,1.5,1.2,10.6,23.4,4.2,2.1,6.3,.137,1.8,-0.3,1.5,1.9,,banede01
7,Julius Randle,31,MIN,PF,67,67,2213,18.7,.585,.295,.398,5.8,17.1,11.6,23.3,1.5,0.6,13.0,26.3,4.0,2.4,6.4,.140,1.5,-0.3,1.2,1.8,,randlju01
8,Jalen Brunson,29,NYK,PG,63,63,2196,20.1,.581,.367,.289,1.4,9.6,5.5,30.5,1.0,0.3,9.4,30.4,5.6,1.9,7.5,.164,4.1,-1.0,3.1,2.8,AS,brunsja01
9,Scottie Barnes,24,TOR,PF,64,64,2192,18.8,.573,.207,.261,6.5,19.4,12.8,23.6,2.0,4.4,14.0,23.8,2.4,3.6,5.9,.130,1.3,2.0,3.4,2.9,AS,barnesc01
10,Brandon Ingram,28,TOR,SF,64,64,2184,16.4,.566,.279,.268,2.6,16.4,9.4,17.6,1.2,2.1,11.3,27.2,1.1,2.6,3.7,.081,0.9,-0.6,0.4,1.3,AS,ingrabr01
11,Jamal Murray,28,DEN,PG,62,62,2169,22.4,.618,.398,.290,1.4,12.1,6.9,32.5,1.3,1.0,10.1,28.8,6.4,1.3,7.7,.171,5.7,-1.5,4.3,3.4,AS,murraja01
12,Derrick White,31,BOS,SG,63,63,2163,17.1,.529,.573,.187,3.5,10.5,7.1,23.8,1.7,4.3,9.6,23.1,3.3,2.8,6.2,.137,2.8,1.0,3.8,3.2,,whitede01
13,Jabari Smith Jr.,22,HOU,PF,62,62,2159,13.8,.572,.489,.214,4.8,16.7,10.8,7.4,1.2,2.5,8.9,17.8,2.9,2.6,5.5,.122,-0.4,0.0,-0.4,0.9,,smithja05
14,Kon Knueppel,20,CHO,SF,66,65,2109,17.9,.653,.595,.215,4.3,14.3,9.4,16.7,1.1,0.7,12.3,22.2,5.1,1.8,6.9,.157,3.7,-0.4,3.2,2.8,,knuepko01
15,Nickeil Alexander-Walker,27,ATL,SG,63,56,2094,15.1,.586,.526,.245,1.9,9.4,5.6,16.2,1.8,1.5,11.2,24.1,1.7,1.9,3.6,.083,0.5,-0.9,-0.3,0.9,,alexani01
16,DeMar DeRozan,36,SAC,PF,66,66,2093,17.6,.591,.151,.430,1.5,9.4,5.3,18.7,1.7,0.9,6.9,22.4,4.4,0.5,4.8,.111,0.7,-0.8,-0.1,1.0,,derozde01
17,Trey Murphy III,25,NOP,SF,59,59,2089,18.9,.617,.528,.238,3.1,14.2,8.6,16.7,2.1,0.8,9.4,23.1,4.4,1.3,5.7,.132,3.4,-0.7,2.6,2.4,,murphtr02
18,Payton Pritchard,28,BOS,PG,64,49,2086,17.1,.575,.516,.129,3.0,10.7,6.9,24.1,1.2,0.3,8.3,21.2,4.9,1.9,6.8,.157,2.4,-0.4,2.0,2.1,,pritcpa01
19,Jalen Johnson,24,ATL,SF,59,59,2079,21.2,.585,.266,.332,4.3,27.7,15.9,34.4,1.8,1.3,14.6,27.1,3.3,3.1,6.4,.147,3.1,1.4,4.4,3.4,AS,johnsja05
20,Jaden McDaniels,25,MIN,PF,65,65,2073,13.9,.621,.312,.231,3.7,10.9,7.4,12.3,1.6,2.7,13.7,18.2,2.5,2.2,4.7,.109,-0.8,0.4,-0.5,0.8,,mcdanja02
21,Donte DiVincenzo,29,MIN,SG,67,67,2072,13.4,.580,.763,.136,3.5,12.1,7.9,17.7,2.1,1.1,12.0,16.6,2.6,2.3,4.9,.114,0.4,0.7,1.1,1.6,,divindo01
22,Dyson Daniels,22,ATL,SG,62,62,2068,14.8,.528,.144,.156,7.1,14.3,10.7,24.9,2.7,1.1,14.2,15.9,2.1,2.7,4.7,.109,-1.1,1.5,0.4,1.3,,daniedy01
23,VJ Edgecombe,20,PHI,SG,59,59,2066,13.1,.532,.429,.186,5.1,12.4,8.7,15.9,2.0,1.5,11.5,19.6,1.1,1.8,2.9,.067,-0.9,-0.2,-1.1,0.5,,edgecvj01
24,Immanuel Quickley,26,TOR,PG,63,63,2055,16.9,.585,.524,.238,1.9,12.7,7.2,26.9,1.8,0.2,9.5,21.5,3.8,2.3,6.1,.143,2.1,0.2,2.3,2.2,,quickim01
25,Cade Cunningham,24,DET,PG,59,59,2053,21.9,.565,.307,.329,2.8,15.1,9.1,45.1,2.0,2.5,14.6,30.4,4.3,3.4,7.7,.179,4.9,1.5,6.4,4.4,AS,cunnica01
26,Ryan Rollins,23,MIL,PG,63,56,2033,15.6,.573,.435,.146,2.7,13.5,8.1,26.2,2.3,1.3,15.4,23.5,1.1,1.7,2.8,.066,0.2,-0.3,-0.2,0.9,,rolliry01
27,Anthony Edwards,24,MIN,SG,57,57,2023,22.7,.624,.420,.356,1.9,13.7,7.9,17.4,1.9,2.1,10.5,31.6,4.4,2.4,6.8,.160,5.2,-0.2,5.1,3.6,AS,edwaran01
28,Rudy Gobert,33,MIN,C,64,64,2013,17.7,.682,.010,.688,13.7,25.8,19.9,7.6,1.2,4.4,14.2,12.6,4.4,3.1,7.6,.181,0.2,0.8,1.0,1.5,,goberru01
