Rk,Player,Age,Team,Pos,G,GS,MP,TS%,USG%,OWS,DWS,WS,WS48,OBPM,DBPM,BPM,VORP,WIN %,VALUE,AAV,ACE
51,Nikola Jokić,30,DEN,C,57,57,1983,0.675,30.7,10.1,3,13.1,0.316,10.2,4.2,14.4,8.2,0.616438356,4.164999168,59.43438914,59434389.14
47,Shai Gilgeous-Alexander,27,OKC,PG,60,60,2003,0.666,33.4,10,3.8,13.8,0.331,8.9,3.1,12,7,0.791666667,3.639246258,58.86877828,58868778.28
30,Luka Dončić,26,LAL,PG,60,60,2153,0.613,38,6.3,2.7,9,0.2,8,1.3,9.3,6.2,0.638888889,2.97663049,58.30316742,58303167.42
106,Victor Wembanyama,22,SAS,C,57,48,1667,0.62,31.9,3.8,4.4,8.2,0.236,5.7,4,9.6,4.9,0.75,2.355974764,57.73755656,57737556.56
75,Kawhi Leonard,34,LAC,SF,56,56,1803,0.632,33.8,5.8,2.4,8.2,0.217,7.5,0.8,8.3,4.7,0.5,2.314556053,57.1719457,57171945.7
11,Tyrese Maxey,25,PHI,PG,61,61,2334,0.589,29.8,5.5,2.5,7.9,0.163,5.3,0.6,5.9,4.6,0.541666667,2.195409508,56.60633484,56606334.84
34,Cade Cunningham,24,DET,PG,61,61,2096,0.567,30.6,4.3,3.5,7.8,0.178,4.9,1.5,6.5,4.5,0.732394366,2.093619166,56.04072398,56040723.98
2,Kevin Durant,37,HOU,SF,68,68,2480,0.639,27.1,6.2,2.7,8.9,0.172,4,0,4.1,3.8,0.605633803,1.924604758,55.47511312,55475113.12
31,Donovan Mitchell,29,CLE,SG,63,63,2116,0.611,32.5,5.4,2.3,7.6,0.173,5.4,-0.2,5.2,3.9,0.625,1.85765412,54.90950226,54909502.26
6,Jamal Murray,28,DEN,PG,68,68,2381,0.613,28.2,6.7,1.5,8.2,0.165,5.2,-1.4,3.8,3.5,0.616438356,1.814211407,54.3438914,54343891.4
97,Jalen Duren,22,DET,C,61,61,1692,0.677,23.7,6,3.3,9.3,0.264,4.4,0.3,4.7,2.9,0.732394366,1.689214903,53.77828054,53778280.54
37,Anthony Edwards,24,MIN,SG,58,58,2061,0.621,31.6,4.2,2.6,6.7,0.157,5,-0.1,4.9,3.6,0.611111111,1.655009295,53.21266968,53212669.68
29,James Harden,36,2TM,PG,62,62,2170,0.611,29.3,5.2,1.8,7,0.154,4.9,-0.8,4.1,3.3,,1.61343733,52.64705882,52647058.82
23,Jalen Johnson,24,ATL,SF,63,63,2219,0.583,27.1,3.4,3.4,6.8,0.146,3,1.4,4.4,3.6,0.555555556,1.580461421,52.08144796,52081447.96
245,Giannis Antetokounmpo,31,MIL,PF,36,36,1039,0.658,37.1,3.9,1.2,5.1,0.236,7.7,1.8,9.4,3,0.408450704,1.572261206,51.5158371,51515837.1
10,Jalen Brunson,29,NYK,PG,67,67,2339,0.581,30.4,5.9,2.1,8,0.165,4,-1,3,2.9,0.657534247,1.509079232,50.95022624,50950226.24
20,Kon Knueppel,20,CHO,SF,71,70,2231,0.65,22.3,5.5,2.1,7.6,0.164,3.7,-0.3,3.3,3,0.527777778,1.457436329,50.38461538,50384615.38
12,Derrick White,31,BOS,SG,68,68,2331,0.53,22.9,3.3,3.2,6.5,0.134,2.6,1.1,3.7,3.4,0.661971831,1.402667386,49.81900452,49819004.52
72,Chet Holmgren,23,OKC,PF,62,62,1816,0.649,21.9,4,4.2,8.2,0.217,2.3,1.7,4,2.7,0.791666667,1.382540699,49.25339367,49253393.67
