Rank,Name,School,Pos,Year,Grade,Offensive Archetype,Defensive Role,Notes
1,Cameron Boozer,Duke,PF,Freshman,93,Shot Creator,Wing Stopper,
2,Darryn Peterson,Kansas,SG/PG,Freshman,88,Shot Creator,Helper,
3,AJ Dybantsa,BYU,SF,Freshman,88,Shot Creator,Helper,
4,Caleb Wilson,North Carolina,SF/PF,Freshman,89,Shot Creator,Mobile Big,
5,Kingston Flemings,Houston,PG,Freshman,87,Athletic Finisher,Helper,
6,Darius Acuff,Arkansas,PG,Freshman,91,Shot Creator,Helper,
7,Keaton Wagler,Illinois,SG/PG,Freshman,87,Shot Creator,Chaser,
8,Mikel Brown Jr.,Louisville,PG,Freshman,87,Shot Creator,Chaser,
9,Nate Ament,Tennessee,SF,Freshman,85,Shot Creator,Helper,
10,Brayden Burries,Arizona,SG/PG,Freshman,86,Shot Creator,Chaser,
11,Labaron Philon,Alabama,PG,Sophomore,87,Shot Creator,Helper,
12,Yaxel Lendeborg,Michigan,PF,Senior,86,Shot Creator,Mobile Big,
13,Hannes Steinbach,Washington,PF,Freshman,85,Shot Creator,Mobile Big,
14,Koa Peat,Arizona,PF,Freshman,83,Shot Creator,Mobile Big,
15,Karim López,New Zealand,SF,International,87,Shot Creator,Chaser,
16,Chris Cenac Jr.,Houston,PF/C,Freshman,82,Stationary Shooter,Wing Stopper,
17,Jayden Quaintance,Kentucky,PF,Sophomore,81,Roll + Cut Big,Mobile Big,
18,Bennett Stirtz,Iowa,PG,Senior,82,Shot Creator,Chaser,
19,Christian Anderson,Texas Tech,PG,Sophomore,85,Primary Ball Handler,Point of Attack,
20,Cameron Carr,Baylor,SG,Sophomore,85,Movement Shooter,Chaser,
21,Allen Graves,Santa Clara,PF,Freshman,85,Stretch Big,Helper,
22,Joshua Jefferson,Iowa State,PF/SF,Senior,81,Shot Creator,Wing Stopper,
23,Morez Johnson Jr.,Michigan,PF,Sophomore,81,Roll + Cut Big,Mobile Big,
24,Dailyn Swain,Texas,SG/SF,Junior,81,Shot Creator,Chaser,
25,Isaiah Evans,Duke,SF,Sophomore,79,Movement Shooter,Helper,
26,Ebuka Okorie,Stanford,PG,Freshman,80,Shot Creator,Helper,
