name,kind,height_in,wingspan_in,standing_reach_in,weight_lbs
AJ Dybantsa,prospect,80.5,84.25,108,217
Darryn Peterson,prospect,76.5,81.75,103,199
Cameron Boozer,prospect,80.25,85.5,108,253
Caleb Wilson,prospect,80.5,85,107,215
Kingston Flemings,prospect,76.75,80,101,192
Jayden Quaintance,prospect,79.75,85,106,222
Aday Mara,prospect,87,90,117,250
Rueben Chinyelu,prospect,81,91.5,110,238
Nate Ament,prospect,78.5,82,104,200
Keaton Wagler,prospect,78,80,103,195
Mikel Brown Jr.,prospect,75,77,97,175
Brayden Burries,prospect,75.5,78,99,185
Labaron Philon,prospect,74.75,78.25,99.5,174.6
Yaxel Lendeborg,prospect,80.5,88,108.5,234.6
Thomas Haugh,prospect,79,82,105,215
Koa Peat,prospect,80,85,107,225
Tounde Yessoufou,prospect,77,81,102,195
Bennett Stirtz,prospect,75,77,97,185
Tyler Tanner,prospect,74,76,95,175
Joshua Jefferson,prospect,79.5,86,107,205
Morez Johnson Jr.,prospect,80.5,87,109,230
Dailyn Swain,prospect,77.5,80,102,195
Isaiah Evans,prospect,77.5,81,103,195
Ebuka Okorie,prospect,77,80,101,190
Meleek Thomas,prospect,76.5,79,100,185
Henri Veesaar,prospect,83,88,110,235
Alijah Arenas,prospect,76.5,79,100,185
Flory Bidunga,prospect,80.5,87,109,230
Zuby Ejiofor,prospect,79.5,85,107,225
Alex Karaban,prospect,79.5,84,106,215
Braden Smith,prospect,73,76,96,175
Motiejus Krivas,prospect,83,89,112,245
Tarris Reed Jr.,prospect,80.5,86,109,250
JT Toppin,prospect,79.5,84,106,210
Alex Condon,prospect,83.25,84.75,107.5,221.8
Zvonimir Ivisic,prospect,84.5,89,112,245
Tomislav Ivisic,prospect,82,88,110,245
Milos Uzan,prospect,75.25,77.25,97.5,186.4
Tahaad Pettiford,prospect,72.25,77.5,96,168.8
Dillon Mitchell,prospect,79,85,106,210
Andrej Stojakovic,prospect,78.5,81,103,195
Kylan Boswell,prospect,73.5,76,96,175
Coen Carr,prospect,77.5,81,102,200
Tucker DeVries,prospect,78,80,103,200
KJ Lewis,prospect,78,81,104,200
Malik Reneau,prospect,79.5,84,106,220
Darius Acuff,prospect,74.5,77,98,188
Keyshawn Hall,prospect,78,82,,205
Miles Byrd,prospect,76.75,82,102.5,181.8
Otega Oweh,prospect,76.5,80,,195
Tamin Lipsey,prospect,74,77,,185
Trevon Brazile,prospect,80.5,86,,225
Baba Miller,prospect,79.5,86,,220
Darrion Williams,prospect,78.5,82,,200
Juke Harris,prospect,77,80,,195
Richie Saunders,prospect,78.5,84,,205
Ryan Conwell,prospect,76,78.5,,185
Jaden Bradley,prospect,75.5,78,,175
Pryce Sandfort,prospect,78.5,81,,205
Milan Momcilovic,prospect,78.5,81,,200
Bruce Thornton,prospect,73.5,76,,185
Emanuel Sharp,prospect,76.5,79,,190
Paul McNeil Jr.,prospect,77.5,81,,195
Solo Ball,prospect,76,78,,185
Amen Thompson,nba,79,83,,215
Tyrese Maxey,nba,74,77,,190
Jalen Brunson,nba,73,75.5,,190
Jamal Murray,nba,76,78.5,,205
Derrick White,nba,76,78.5,,195
Anthony Edwards,nba,76,79.5,,225
Immanuel Quickley,nba,75,78,,190
Cade Cunningham,nba,78,80.5,,220
Shai Gilgeous-Alexander,nba,77.5,81.5,,195
James Harden,nba,77,79,,225
Donovan Mitchell,nba,73,76.5,,195
Payton Pritchard,nba,73,75,,195
De'Aaron Fox,nba,75,77,,185
Darius Garland,nba,73.5,76,,185
Trae Young,nba,72,74.5,,180
Tyus Jones,nba,73.5,76,,185
Stephen Curry,nba,74.5,77,,185
D'Angelo Russell,nba,75.5,78,,195
Jalen Green,nba,75,77.5,,185
Tyler Herro,nba,76,78.5,,195
Devin Booker,nba,77,79.5,,210
Mike Conley,nba,73,75.5,,185
Chris Paul,nba,72,74.5,,175
Dejounte Murray,nba,77,80.5,,190
Luka Dončić,nba,78,80.5,,230
Kyle Lowry,nba,71,74,,195
Jordan Poole,nba,75.5,78,,195
Ja Morant,nba,75,78,,185
Scoot Henderson,nba,74.5,77,,195
Brandin Podziemski,nba,76,78.5,,195
Jeremiah Fears,nba,75,78,,175
Dylan Harper,nba,77,80.5,,210
T.J. McConnell,nba,73.5,76,,185
Russell Westbrook,nba,75,78,,200
VJ Edgecombe,nba,76.5,79,,190
Kris Dunn,nba,75.5,79,,205
Rob Dillingham,nba,73.5,75.5,,175
Collin Sexton,nba,73,75.5,,185
Reed Sheppard,nba,74.75,77,,185
Collin Gillespie,nba,75,77,,190
Jalen Suggs,nba,76,78.5,,205
Jrue Holiday,nba,76.5,79.5,,205
Austin Reaves,nba,77,79.5,,195
Donte DiVincenzo,nba,76,79,,200
Anfernee Simons,nba,76,78.5,,185
Alex Caruso,nba,77,79.5,,190
Coby White,nba,75.5,77.5,,185
Keyonte George,nba,75,77.5,,185
Anthony Black,nba,78,81.5,,205
Norman Powell,nba,77,80,,205
Tre Jones,nba,73.5,76.5,,185
Jose Alvarado,nba,72.5,75,,180
Gary Payton II,nba,74,76.5,,190
CJ McCollum,nba,75,77,,200
Kevin Durant,nba,81,87,,235
Mikal Bridges,nba,78,82.5,,210
Toumani Camara,nba,79,83,,215
Desmond Bane,nba,77,79.5,,215
Brandon Ingram,nba,79,83.5,,195
Jaylen Brown,nba,78,82.5,,220
Trey Murphy III,nba,79.5,84,,205
Jalen Johnson,nba,79,83,,215
Scottie Barnes,nba,79.5,84.5,,225
Cooper Flagg,nba,80,84,,215
Royce O'Neale,nba,77,80.5,,220
OG Anunoby,nba,79,83.5,,220
Kawhi Leonard,nba,79,84.5,,225
Pascal Siakam,nba,79,82.5,,220
Paul George,nba,80,83.5,,220
Deni Avdija,nba,80.5,84,,220
Michael Porter Jr.,nba,81.5,86,,210
Franz Wagner,nba,80.5,84.5,,220
Andrew Wiggins,nba,78,83.5,,200
Jimmy Butler,nba,79,82.5,,230
Duncan Robinson,nba,79,82,,210
Klay Thompson,nba,78,81.5,,215
RJ Barrett,nba,78,82,,215
De'Andre Hunter,nba,79,83.5,,225
Cameron Johnson,nba,80.5,84,,210
