Rank,Name,Size Group,ML Offensive Archetype,ML Off Confidence,ML Defensive Role,ML Def Confidence
1,Cameron Boozer,Big,Shot Creator,0.986,Wing Stopper,0.791
2,Darryn Peterson,Wing,Shot Creator,0.852,Helper,0.428
3,AJ Dybantsa,Wing,Shot Creator,0.861,Helper,0.364
4,Caleb Wilson,Big,Shot Creator,0.98,Mobile Big,0.93
5,Kingston Flemings,Guard,Athletic Finisher,0.491,Helper,0.645
6,Darius Acuff,Guard,Shot Creator,0.691,Helper,0.737
7,Keaton Wagler,Wing,Shot Creator,0.741,Chaser,0.572
8,Mikel Brown Jr.,Guard,Shot Creator,0.879,Chaser,0.663
9,Nate Ament,Wing,Shot Creator,0.875,Helper,0.381
10,Brayden Burries,Guard,Shot Creator,0.673,Chaser,0.798
11,Labaron Philon,Guard,Shot Creator,0.979,Helper,0.939
12,Yaxel Lendeborg,Big,Shot Creator,0.752,Mobile Big,0.818
13,Hannes Steinbach,Big,Shot Creator,0.952,Mobile Big,0.509
14,Braylon Mullins,Guard,Movement Shooter,0.947,Chaser,0.676
15,Thomas Haugh,Big,Shot Creator,0.969,Mobile Big,0.604
16,Koa Peat,Big,Shot Creator,0.961,Mobile Big,0.908
18,Chris Cenac Jr.,Big,Stationary Shooter,0.713,Wing Stopper,0.794
19,Tounde Yessoufou,Guard,Shot Creator,0.798,Helper,0.688
20,Jayden Quaintance,Big,Roll + Cut Big,0.945,Mobile Big,0.896
22,Bennett Stirtz,Guard,Shot Creator,0.982,Chaser,0.668
26,Tyler Tanner,Guard,Shot Creator,0.96,Helper,0.763
28,Joshua Jefferson,Big,Shot Creator,0.987,Wing Stopper,0.517
29,Morez Johnson Jr.,Big,Roll + Cut Big,0.5,Mobile Big,0.957
30,Dailyn Swain,Wing,Shot Creator,0.849,Chaser,0.417
31,Isaiah Evans,Wing,Movement Shooter,0.626,Helper,0.657
32,Ebuka Okorie,Guard,Shot Creator,0.976,Helper,0.534
33,Meleek Thomas,Guard,Primary Ball Handler,0.582,Point of Attack,0.501
34,Aday Mara,Big,Roll + Cut Big,0.903,Anchor Big,0.949
35,Henri Veesaar,Big,Shot Creator,0.942,Mobile Big,0.672
36,Alijah Arenas,Guard,Movement Shooter,0.52,Helper,0.412
37,Flory Bidunga,Big,Roll + Cut Big,0.844,Mobile Big,0.83
39,Zuby Ejiofor,Big,Shot Creator,0.98,Mobile Big,0.708
40,Alex Karaban,Wing,Movement Shooter,0.767,Wing Stopper,0.459
41,Braden Smith,Guard,Primary Ball Handler,0.835,Point of Attack,0.468
42,Motiejus Krivas,Big,Roll + Cut Big,0.855,Mobile Big,0.902
43,Juke Harris,Guard,Shot Creator,0.915,Helper,0.455
44,Richie Saunders,Wing,Shot Creator,0.635,Chaser,0.403
45,Tarris Reed Jr.,Big,Roll + Cut Big,0.496,Mobile Big,0.952
46,JT Toppin,Big,Shot Creator,0.948,Mobile Big,0.758
48,Alex Condon,Big,Roll + Cut Big,0.808,Mobile Big,0.745
49,Ryan Conwell,Guard,Shot Creator,0.891,Helper,0.333
50,Jaden Bradley,Guard,Athletic Finisher,0.673,Chaser,0.579
51,Pryce Sandfort,Wing,Movement Shooter,0.644,Wing Stopper,0.381
52,Rueben Chinyelu,Big,Roll + Cut Big,0.967,Mobile Big,0.986
54,Milan Momcilovic,Wing,Movement Shooter,0.547,Helper,0.523
55,Bruce Thornton,Guard,Shot Creator,0.9,Chaser,0.854
56,Emanuel Sharp,Guard,Movement Shooter,0.523,Chaser,0.722
57,Paul McNeil Jr.,Wing,Movement Shooter,0.658,Helper,0.772
58,Otega Oweh,Guard,Shot Creator,0.958,Helper,0.597
59,Tamin Lipsey,Guard,Shot Creator,0.823,Helper,0.344
60,Trevon Brazile,Big,Shot Creator,0.531,Mobile Big,0.954
61,Baba Miller,Wing,Shot Creator,0.626,Helper,0.414
62,Keyshawn Hall,Wing,Shot Creator,0.692,Helper,0.511
64,Miles Byrd,Wing,Shot Creator,0.585,Chaser,0.515
65,Zvonimir Ivisic,Big,Stretch Big,0.97,Mobile Big,0.751
66,Milos Uzan,Guard,Primary Ball Handler,0.957,Chaser,0.986
68,Darrion Williams,Wing,Shot Creator,0.505,Chaser,0.655
69,Tomislav Ivisic,Big,Stationary Shooter,0.655,Mobile Big,0.81
71,Dillon Mitchell,Wing,Shot Creator,0.486,Point of Attack,0.753
72,Andrej Stojakovic,Wing,Shot Creator,0.465,Helper,0.832
73,Tahaad Pettiford,Guard,Primary Ball Handler,0.776,Helper,0.629
74,Kylan Boswell,Guard,Primary Ball Handler,0.505,Chaser,0.855
75,Coen Carr,Wing,Shot Creator,0.541,Helper,0.817
76,Tucker DeVries,Wing,Movement Shooter,0.427,Chaser,0.658
77,KJ Lewis,Wing,Shot Creator,0.788,Helper,0.519
78,Malik Reneau,Big,Shot Creator,0.98,Anchor Big,0.468
80,Solo Ball,Guard,Movement Shooter,0.796,Wing Stopper,0.645
