Name,Offensive Archetype,Defensive Role
Cameron Boozer,Shot Creator,Wing Stopper
Darryn Peterson,Shot Creator,Helper
AJ Dybantsa,Shot Creator,Helper
Caleb Wilson,Shot Creator,Mobile Big
Kingston Flemings,Athletic Finisher,Helper
Darius Acuff,Shot Creator,Helper
Keaton Wagler,Shot Creator,Chaser
Mikel Brown Jr.,Shot Creator,Chaser
Nate Ament,Shot Creator,Helper
Brayden Burries,Shot Creator,Chaser
Labaron Philon,Shot Creator,Helper
Yaxel Lendeborg,Shot Creator,Mobile Big
Hannes Steinbach,Shot Creator,Mobile Big
Braylon Mullins,Movement Shooter,Chaser
Thomas Haugh,Shot Creator,Mobile Big
Koa Peat,Shot Creator,Mobile Big
Karim López,Shot Creator,Chaser
Chris Cenac Jr.,Stationary Shooter,Wing Stopper
Tounde Yessoufou,Shot Creator,Helper
Jayden Quaintance,Roll + Cut Big,Mobile Big
Patrick Ngongba II,Roll + Cut Big,Anchor Big
Bennett Stirtz,Shot Creator,Chaser
Christian Anderson,Primary Ball Handler,Point of Attack
Cameron Carr,Movement Shooter,Chaser
Allen Graves,Stretch Big,Helper
Tyler Tanner,Shot Creator,Helper
Amari Allen,Movement Shooter,Chaser
Joshua Jefferson,Shot Creator,Wing Stopper
Morez Johnson Jr.,Roll + Cut Big,Mobile Big
Dailyn Swain,Shot Creator,Chaser
Isaiah Evans,Movement Shooter,Helper
Ebuka Okorie,Shot Creator,Helper
Meleek Thomas,Primary Ball Handler,Point of Attack
Aday Mara,Roll + Cut Big,Anchor Big
Henri Veesaar,Shot Creator,Mobile Big
Alijah Arenas,Movement Shooter,Helper
Flory Bidunga,Roll + Cut Big,Mobile Big
Sergio de Larrea,Secondary Ball Handler,Chaser
Zuby Ejiofor,Shot Creator,Mobile Big
Alex Karaban,Movement Shooter,Wing Stopper
Braden Smith,Primary Ball Handler,Point of Attack
Motiejus Krivas,Roll + Cut Big,Mobile Big
Juke Harris,Shot Creator,Helper
Richie Saunders,Shot Creator,Chaser
Tarris Reed Jr.,Roll + Cut Big,Mobile Big
JT Toppin,Shot Creator,Mobile Big
Dash Daniels,Movement Shooter,Chaser
Alex Condon,Roll + Cut Big,Mobile Big
Ryan Conwell,Shot Creator,Helper
Jaden Bradley,Athletic Finisher,Chaser
Pryce Sandfort,Movement Shooter,Wing Stopper
Rueben Chinyelu,Roll + Cut Big,Mobile Big
JoJo Tugler,Athletic Finisher,Mobile Big
Milan Momcilovic,Movement Shooter,Helper
Bruce Thornton,Shot Creator,Chaser
Emanuel Sharp,Movement Shooter,Chaser
Paul McNeil Jr.,Movement Shooter,Helper
Otega Oweh,Shot Creator,Helper
Tamin Lipsey,Shot Creator,Helper
Trevon Brazile,Shot Creator,Mobile Big
Baba Miller,Shot Creator,Helper
Keyshawn Hall,Shot Creator,Helper
Nate Bittle,Stretch Big,Anchor Big
Miles Byrd,Shot Creator,Chaser
Zvonimir Ivisic,Stretch Big,Mobile Big
Milos Uzan,Primary Ball Handler,Chaser
Jeremy Fears Jr.,Secondary Ball Handler,Point of Attack
Darrion Williams,Shot Creator,Chaser
Tomislav Ivisic,Stationary Shooter,Mobile Big
Mouhamed Faye,Athletic Finisher,Anchor Big
Dillon Mitchell,Shot Creator,Point of Attack
Andrej Stojakovic,Shot Creator,Helper
Tahaad Pettiford,Primary Ball Handler,Helper
Kylan Boswell,Primary Ball Handler,Chaser
Coen Carr,Shot Creator,Helper
Tucker DeVries,Movement Shooter,Chaser
KJ Lewis,Shot Creator,Helper
Malik Reneau,Shot Creator,Anchor Big
Mark Mitchell,Versatile Big,Wing Stopper
Solo Ball,Movement Shooter,Wing Stopper
Michael Ruzic,Stretch Big,Helper
