player,team,season,salary
Stephen Curry,,2025-26,59606817
Stephen Curry,,2026-27,62587158
Nikola Jokic,,2025-26,55224526
Nikola Jokic,,2026-27,59033114
Nikola Jokic,,2027-28,62841702
Joel Embiid,,2025-26,55224526
Joel Embiid,,2026-27,59539018
Joel Embiid,,2027-28,64302139
Joel Embiid,,2028-29,69065261
Kevin Durant,,2025-26,54708608
Kevin Durant,,2026-27,43902439
Kevin Durant,,2027-28,46097561
Anthony Davis,,2025-26,54126450
Anthony Davis,,2026-27,58456566
Anthony Davis,,2027-28,62786682
Jimmy Butler,,2025-26,54126450
Jimmy Butler,,2026-27,56832773
Jayson Tatum,,2025-26,54126450
Jayson Tatum,,2026-27,58456566
Jayson Tatum,,2027-28,62786682
Jayson Tatum,,2028-29,67116798
G. Antetokounmpo,,2025-26,54126450
G. Antetokounmpo,,2026-27,58456566
G. Antetokounmpo,,2027-28,62786682
K. Towns,,2025-26,53142264
K. Towns,,2026-27,57078728
K. Towns,,2027-28,61015192
Jaylen Brown,,2025-26,53142264
Jaylen Brown,,2026-27,57078728
Jaylen Brown,,2027-28,61015192
Jaylen Brown,,2028-29,64951656
Devin Booker,,2025-26,53142264
Devin Booker,,2026-27,57078728
Devin Booker,,2027-28,61015192
Devin Booker,,2028-29,69877500
LeBron James,,2025-26,52627153
Paul George,,2025-26,51666090
Paul George,,2026-27,54126380
Paul George,,2027-28,56586670
Kawhi Leonard,,2025-26,50000000
Kawhi Leonard,,2026-27,50300000
Zach LaVine,,2025-26,47499660
Zach LaVine,,2026-27,48967380
Trae Young,,2025-26,46394100
Trae Young,,2026-27,48967380
Lauri Markkanen,,2025-26,46394100
Lauri Markkanen,,2026-27,46113154
Lauri Markkanen,,2027-28,49824681
Lauri Markkanen,,2028-29,53536209
Donovan Mitchell,,2025-26,46394100
Donovan Mitchell,,2026-27,50105628
Donovan Mitchell,,2027-28,53817156
Cade Cunningham,,2025-26,46394100
Cade Cunningham,,2026-27,50105628
Cade Cunningham,,2027-28,53817156
Cade Cunningham,,2028-29,57528684
Evan Mobley,,2025-26,46394100
Evan Mobley,,2026-27,50105628
Evan Mobley,,2027-28,53817156
Evan Mobley,,2028-29,57528684
