Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
1,Luka Dončić,26,LAL,PG,54,54,35.5,10.6,22.2,.475,3.9,10.5,.367,6.7,11.7,.573,.562,7.9,10.2,.776,0.6,7.3,7.9,8.5,1.5,0.5,4.0,2.4,32.9,AS,doncilu01
2,Shai Gilgeous-Alexander,27,OKC,PG,55,55,33.6,10.9,19.7,.554,1.7,4.5,.383,9.2,15.2,.605,.598,8.2,9.2,.895,0.5,4.0,4.5,6.6,1.4,0.8,2.1,2.0,31.8,AS,gilgesh01
3,Anthony Edwards,24,MIN,SG,57,57,35.5,10.2,20.6,.494,3.5,8.6,.402,6.7,11.9,.560,.578,5.9,7.3,.803,0.6,4.5,5.1,3.7,1.4,0.8,2.8,1.8,29.7,AS,edwaran01
4,Tyrese Maxey,25,PHI,PG,61,61,38.3,10.1,21.9,.461,3.3,8.9,.373,6.8,13.0,.521,.537,5.5,6.1,.893,0.3,3.8,4.1,6.7,2.0,0.8,2.4,2.2,29.0,AS,maxeyty01
5,Nikola Jokić,30,DEN,C,51,51,34.7,10.1,17.6,.573,1.9,4.8,.389,8.2,12.8,.642,.626,6.6,7.9,.837,3.0,9.6,12.7,10.4,1.4,0.8,3.8,2.7,28.7,AS,jokicni01
6,Jaylen Brown,29,BOS,SF,59,59,34.1,10.4,21.8,.479,2.0,5.7,.347,8.5,16.1,.525,.524,5.6,7.1,.785,1.1,6.0,7.1,5.2,1.0,0.4,3.6,2.7,28.4,AS,brownja02
7,Kawhi Leonard,34,LAC,SF,52,52,32.4,9.8,19.5,.500,2.6,6.8,.379,7.2,12.7,.565,.566,6.1,6.8,.903,1.0,5.3,6.3,3.8,2.0,0.4,2.1,1.3,28.3,AS,leonaka01
8,Donovan Mitchell,29,CLE,SG,59,59,33.4,9.8,20.3,.483,3.4,9.2,.365,6.4,11.1,.580,.565,5.2,6.1,.856,0.7,3.7,4.5,5.8,1.6,0.3,3.0,2.3,28.2,AS,mitchdo01
9,Giannis Antetokounmpo,31,MIL,PF,35,35,29.0,10.3,16.5,.628,0.4,1.3,.333,9.9,15.2,.653,.641,6.4,9.8,.648,2.6,7.0,9.7,5.4,1.0,0.7,3.3,2.4,27.5,AS,antetgi01
10,Stephen Curry,37,GSW,PG,39,39,31.3,8.9,19.1,.468,4.5,11.5,.391,4.4,7.6,.584,.585,4.9,5.2,.931,0.4,3.1,3.5,4.8,1.1,0.4,2.8,1.9,27.2,AS,curryst01
11,Lauri Markkanen,28,UTA,PF,42,42,34.4,9.1,19.2,.477,2.7,7.7,.355,6.4,11.5,.559,.548,5.7,6.4,.896,2.0,4.9,6.9,2.1,1.0,0.5,1.5,1.8,26.7,,markkla01
12,Joel Embiid,31,PHI,C,33,33,31.2,9.0,18.2,.495,1.3,4.0,.318,7.7,14.2,.545,.530,7.3,8.5,.858,2.0,5.5,7.5,3.9,0.6,1.1,3.0,2.1,26.6,,embiijo01
13,Jalen Brunson,29,NYK,PG,63,63,34.9,9.3,20.0,.464,2.8,7.4,.377,6.5,12.7,.514,.533,4.9,5.8,.841,0.5,3.0,3.5,6.6,0.7,0.1,2.3,2.3,26.3,AS,brunsja01
14,Kevin Durant,37,HOU,SF,63,63,36.5,9.2,17.8,.515,2.3,5.7,.406,6.9,12.1,.566,.580,5.3,6.0,.886,0.6,4.9,5.5,4.5,0.8,0.9,3.2,1.9,26.0,AS,duranke01
15,Jamal Murray,28,DEN,PG,62,62,35.0,8.9,18.4,.484,3.1,7.3,.429,5.8,11.1,.520,.569,4.7,5.3,.882,0.4,3.9,4.3,7.1,0.9,0.4,2.3,1.6,25.7,AS,murraja01
16,Devin Booker,29,PHO,SG,51,51,33.4,8.3,18.4,.452,1.9,5.7,.328,6.4,12.7,.508,.503,6.9,7.9,.871,0.8,3.2,4.0,6.0,0.9,0.3,3.2,2.6,25.4,AS,bookede01
17,Cade Cunningham,24,DET,PG,59,59,34.8,8.8,19.1,.460,2.1,5.9,.350,6.7,13.2,.509,.514,5.1,6.3,.811,0.9,4.8,5.7,10.1,1.5,0.9,3.7,3.2,24.7,AS,cunnica01
18,James Harden,36,2TM,PG,57,57,34.9,7.1,16.5,.432,3.1,8.4,.366,4.0,8.1,.500,.525,6.9,7.8,.887,0.6,4.3,4.9,8.1,1.1,0.4,3.6,1.9,24.2,,hardeja01
18,James Harden,36,LAC,PG,44,44,35.4,7.3,17.5,.419,3.1,8.8,.347,4.3,8.7,.492,.506,7.7,8.5,.901,0.6,4.2,4.8,8.1,1.3,0.4,3.7,1.9,25.4,,hardeja01
18,James Harden,36,CLE,PG,13,13,33.1,6.3,12.8,.491,3.1,6.8,.449,3.2,6.0,.538,.611,4.2,5.2,.809,0.7,4.5,5.2,7.8,0.5,0.5,3.3,1.8,19.9,,hardeja01
19,Michael Porter Jr.,27,BRK,SF,52,52,32.5,8.5,18.4,.463,3.4,9.3,.363,5.2,9.1,.567,.555,3.8,4.4,.859,1.3,5.7,7.1,3.0,1.1,0.3,2.3,2.2,24.2,,portemi01
20,Victor Wembanyama,22,SAS,C,51,42,29.3,8.2,16.2,.506,1.9,5.3,.360,6.3,10.9,.578,.565,5.9,7.2,.815,1.9,9.2,11.1,2.9,1.0,3.0,2.6,2.6,24.2,AS,wembavi01
21,Deni Avdija,25,POR,SF,51,51,33.3,7.5,16.0,.465,2.0,6.1,.335,5.4,10.0,.543,.528,7.2,8.9,.804,1.1,5.8,6.9,6.7,0.8,0.6,3.8,2.6,24.1,AS,avdijde01
22,Pascal Siakam,31,IND,PF,55,55,33.5,9.0,18.5,.484,1.7,4.8,.362,7.2,13.7,.527,.531,4.3,6.2,.682,1.5,5.2,6.7,3.9,1.1,0.4,2.2,2.4,24.0,AS,siakapa01
23,Austin Reaves,27,LAL,SG,40,34,33.7,7.5,15.1,.500,2.5,6.5,.380,5.1,8.6,.590,.581,6.4,7.3,.873,0.7,4.1,4.8,5.5,1.1,0.4,3.0,2.2,23.9,,reaveau01
24,Keyonte George,22,UTA,PG,54,54,33.1,7.4,16.3,.456,2.5,6.7,.371,5.0,9.6,.515,.532,6.2,7.0,.892,0.4,3.3,3.7,6.1,1.1,0.3,3.1,2.2,23.6,,georgke01
25,Jalen Johnson,24,ATL,SF,59,59,35.2,8.5,17.1,.495,1.6,4.5,.351,6.9,12.6,.547,.541,4.4,5.7,.782,1.4,8.9,10.4,8.0,1.3,0.5,3.3,2.2,22.9,AS,johnsja05
