,,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,% of FG Ast'd,% of FG Ast'd,Dunks,Dunks,Corner 3s,Corner 3s,1/2 Court,1/2 Court,,-additional
Rk,Player,Age,Team,Pos,G,GS,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,Md.,Awards,-9999
1,Amen Thompson,23,HOU,PG,64,64,2371,.519,8.1,.878,.363,.336,.115,.063,.122,.560,.752,.470,.340,.340,.223,.495,.957,.186,145,.583,.233,1,0,,thompam01
2,Tyrese Maxey,25,PHI,PG,61,61,2334,.461,15.0,.594,.235,.193,.093,.073,.406,.521,.672,.430,.411,.418,.373,.386,.594,.021,26,.072,.359,0,0,AS,maxeyty01
3,Kevin Durant,37,HOU,SF,63,63,2298,.515,16.3,.679,.059,.150,.314,.156,.321,.566,.803,.604,.518,.537,.406,.461,.712,.039,40,.106,.474,0,0,AS,duranke01
4,Mikal Bridges,29,NYK,SF,68,68,2280,.490,14.9,.571,.208,.141,.169,.053,.429,.576,.769,.487,.471,.386,.376,.678,.985,.037,29,.444,.424,0,0,,bridgmi01
5,Toumani Camara,25,POR,PF,67,67,2242,.423,18.1,.335,.156,.152,.022,.006,.665,.568,.732,.440,.313,.500,.349,.642,.892,.047,31,.299,.287,0,0,,camarto01
6,Desmond Bane,27,ORL,SG,65,65,2228,.490,13.3,.654,.229,.260,.100,.065,.346,.543,.683,.478,.510,.359,.389,.520,.765,.001,1,.186,.413,0,0,,banede01
7,Julius Randle,31,MIN,PF,67,67,2213,.480,12.2,.705,.265,.231,.134,.075,.295,.553,.711,.489,.453,.368,.306,.438,.826,.055,50,.216,.323,0,0,,randlju01
8,Jalen Brunson,29,NYK,PG,63,63,2196,.464,15.4,.633,.116,.215,.203,.098,.367,.514,.653,.471,.480,.516,.377,.217,.577,.000,0,.170,.430,0,0,AS,brunsja01
9,Scottie Barnes,24,TOR,PF,64,64,2192,.499,10.7,.793,.301,.251,.177,.065,.207,.551,.716,.438,.464,.459,.299,.551,.948,.108,91,.242,.298,0,0,AS,barnesc01
