Player,Offensive Archetype,Defensive Role
Aaron Gordon,Shot Creator,Wing Stopper
Aaron Holiday,Secondary Ball Handler,Point of Attack
Aaron Nesmith,Off Screen Shooter,Chaser
Aaron Wiggins,Movement Shooter,Helper
Ace Bailey,Movement Shooter,Helper
Adem Bona,Roll + Cut Big,Mobile Big
Adou Thiero,Athletic Finisher,Helper
Ajay Mitchell,Primary Ball Handler,Point of Attack
AJ Green,Movement Shooter,Chaser
AJ Johnson,Shot Creator,Low Activity
A.J. Lawson,Movement Shooter,Wing Stopper
Alex Caruso,Stationary Shooter,Wing Stopper
Alex Sarr,Shot Creator,Mobile Big
Al Horford,Versatile Big,Mobile Big
Alijah Martin,Low Minute,Point of Attack
Alondes Williams,Movement Shooter,Low Activity
Alperen Sengun,Shot Creator,Mobile Big
Amari Williams,Athletic Finisher,Anchor Big
Amen Thompson,Primary Ball Handler,Point of Attack
Amir Coffey,Stationary Shooter,Helper
Andre Drummond,Roll + Cut Big,Mobile Big
Andre Jackson Jr.,Stationary Shooter,Helper
Andrew Nembhard,Primary Ball Handler,Point of Attack
Andrew Wiggins,Shot Creator,Wing Stopper
Anfernee Simons,Shot Creator,Low Activity
Anthony Black,Primary Ball Handler,Point of Attack
Anthony Davis,Shot Creator,Mobile Big
Anthony Edwards,Shot Creator,Chaser
Anthony Gill,Athletic Finisher,Anchor Big
Antonio Reeves,Low Minute,Chaser
Ariel Hukporti,Roll + Cut Big,Mobile Big
Asa Newell,Stationary Shooter,Helper
Ausar Thompson,Roll + Cut Big,Point of Attack
Austin Reaves,Shot Creator,Chaser
Ayo Dosunmu,Primary Ball Handler,Point of Attack
Bam Adebayo,Shot Creator,Mobile Big
Baylor Scheierman,Movement Shooter,Chaser
Bennedict Mathurin,Secondary Ball Handler,Chaser
Ben Saraf,Primary Ball Handler,Point of Attack
Ben Sheppard,Movement Shooter,Chaser
Bilal Coulibaly,Secondary Ball Handler,Wing Stopper
Bismack Biyombo,Low Minute,Anchor Big
Blake Hinson,Low Minute,Helper
Blake Wesley,Shot Creator,Chaser
Bobby Portis,Versatile Big,Helper
Bobi Klintman,Low Minute,Low Activity
Bogdan Bogdanović,Secondary Ball Handler,Chaser
Bones Hyland,Primary Ball Handler,Point of Attack
Bradley Beal,Secondary Ball Handler,Chaser
Branden Carlson,Stretch Big,Mobile Big
Brandin Podziemski,Primary Ball Handler,Chaser
Brandon Clarke,Low Minute,Mobile Big
Brandon Ingram,Shot Creator,Low Activity
Brandon Miller,Shot Creator,Chaser
Brandon Williams,Slasher,Point of Attack
Brice Sensabaugh,Movement Shooter,Helper
Bronny James,Secondary Ball Handler,Point of Attack
Brook Lopez,Versatile Big,Mobile Big
Brooks Barnhizer,Stationary Shooter,Helper
Bruce Brown,Stationary Shooter,Point of Attack
Bryce McGowens,Stationary Shooter,Chaser
Bub Carrington,Primary Ball Handler,Point of Attack
Buddy Boeheim,Low Minute,Helper
Buddy Hield,Movement Shooter,Point of Attack
Cade Cunningham,Shot Creator,Chaser
Caleb Houstan,Low Minute,Low Activity
Caleb Love,Shot Creator,Chaser
Caleb Martin,Stationary Shooter,Point of Attack
Cam Christie,Movement Shooter,Point of Attack
Cameron Johnson,Movement Shooter,Helper
Cameron Payne,Low Minute,Low Activity
Cam Spencer,Primary Ball Handler,Low Activity
Cam Thomas,Shot Creator,Low Activity
Cam Whitmore,Shot Creator,Helper
Caris LeVert,Secondary Ball Handler,Chaser
Carter Bryant,Stationary Shooter,Helper
Cason Wallace,Movement Shooter,Point of Attack
Cedric Coward,Movement Shooter,Wing Stopper
Charles Bassey,Low Minute,Mobile Big
Chaz Lanier,Movement Shooter,Low Activity
Chet Holmgren,Shot Creator,Mobile Big
Chris Boucher,Low Minute,Helper
Chris Livingston,Low Minute,Chaser
Chris Mañon,Low Minute,Chaser
Chris Paul,Primary Ball Handler,Chaser
Christian Braun,Stationary Shooter,Point of Attack
Christian Koloko,Athletic Finisher,Mobile Big
Chris Youngblood,Movement Shooter,Low Activity
Chucky Hepburn,Low Minute,Point of Attack
CJ McCollum,Primary Ball Handler,Chaser
Clint Capela,Roll + Cut Big,Mobile Big
Coby White,Shot Creator,Chaser
Cody Martin,Low Minute,Chaser
Cody Williams,Stationary Shooter,Point of Attack
Colby Jones,Low Minute,Point of Attack
Cole Anthony,Primary Ball Handler,Point of Attack
Collin Gillespie,Primary Ball Handler,Point of Attack
Collin Murray-Boyles,Roll + Cut Big,Mobile Big
Collin Sexton,Primary Ball Handler,Point of Attack
Cooper Flagg,Shot Creator,Helper
Craig Porter Jr.,Secondary Ball Handler,Point of Attack
Curtis Jones,Low Minute,Point of Attack
Daeqwon Plowden,Stationary Shooter,Wing Stopper
Dalano Banton,Low Minute,Low Activity
Dalen Terry,Stationary Shooter,Point of Attack
Dalton Knecht,Movement Shooter,Low Activity
D'Angelo Russell,Primary Ball Handler,Chaser
Daniel Gafford,Roll + Cut Big,Mobile Big
Daniss Jenkins,Primary Ball Handler,Point of Attack
Danny Wolf,Movement Shooter,Helper
Dario Šarić,Low Minute,Helper
Darius Brown,Low Minute,Point of Attack
Darius Garland,Primary Ball Handler,Chaser
DaRon Holmes II,Stretch Big,Mobile Big
David Jones Garcia,Low Minute,Point of Attack
Davion Mitchell,Shot Creator,Point of Attack
Day'Ron Sharpe,Roll + Cut Big,Mobile Big
De'Aaron Fox,Shot Creator,Point of Attack
Deandre Ayton,Roll + Cut Big,Mobile Big
De'Andre Hunter,Movement Shooter,Wing Stopper
DeAndre Jordan,Roll + Cut Big,Anchor Big
De'Anthony Melton,Primary Ball Handler,Point of Attack
