Rank,Name,School,Pos,Year,Grade,Offensive Archetype,Defensive Role,Notes
1,Cameron Boozer,Duke,PF,Freshman,93,Offensive Hub,Helper,
2,Darryn Peterson,Kansas,SG/PG,Freshman,88,Primary Ball Handler,Chaser,
3,AJ Dybantsa,BYU,SF,Freshman,88,Shot Creator,Wing Stopper,
4,Caleb Wilson,North Carolina,SF/PF,Freshman,89,Athletic Finisher,Anchor Big,
5,Kingston Flemings,Houston,PG,Freshman,87,Primary Ball Handler,Chaser,
6,Darius Acuff,Arkansas,PG,Freshman,91,Primary Ball Handler,Point of Attack,
7,Keaton Wagler,Illinois,SG/PG,Freshman,87,Stationary Shooter,Helper,
8,Mikel Brown Jr.,Louisville,PG,Freshman,87,Shot Creator,Chaser,
9,Nate Ament,Tennessee,SF,Freshman,85,Stationary Shooter,Helper,
10,Brayden Burries,Arizona,SG/PG,Freshman,86,Movement Shooter,Point of Attack,
11,Labaron Philon,Alabama,PG,Sophomore,87,Primary Ball Handler,Point of Attack,
12,Yaxel Lendeborg,Michigan,PF,Senior,86,Stationary Shooter,Wing Stopper,
13,Hannes Steinbach,Washington,PF,Freshman,85,Stretch Big,Helper,
14,Braylon Mullins,UConn,SG,Freshman,83,Movement Shooter,Chaser,
15,Thomas Haugh,Florida,PF,Junior,84,Roll + Cut Big,Mobile Big,
16,Koa Peat,Arizona,PF,Freshman,83,Athletic Finisher,Mobile Big,
17,Karim López,New Zealand,SF,International,87,Shot Creator,Chaser,
18,Chris Cenac Jr.,Houston,PF/C,Freshman,82,Versatile Big,Anchor Big,
19,Tounde Yessoufou,Baylor,SG/SF,Freshman,83,Slasher,Wing Stopper,
20,Jayden Quaintance,Kentucky,PF,Sophomore,81,Roll + Cut Big,Mobile Big,
21,Patrick Ngongba II,Duke,C,Sophomore,86,Roll + Cut Big,Anchor Big,
22,Bennett Stirtz,Iowa,PG,Senior,82,Secondary Ball Handler,Point of Attack,
23,Christian Anderson,Texas Tech,PG,Sophomore,85,Primary Ball Handler,Point of Attack,
24,Cameron Carr,Baylor,SG,Sophomore,85,Movement Shooter,Chaser,
25,Allen Graves,Santa Clara,PF,Freshman,85,Stretch Big,Helper,
26,Tyler Tanner,Vanderbilt,PG,Sophomore,82,Primary Ball Handler,Helper,
27,Amari Allen,Alabama,SF,Freshman,84,Movement Shooter,Chaser,
28,Joshua Jefferson,Iowa State,PF/SF,Senior,81,Versatile Big,Mobile Big,
29,Morez Johnson Jr.,Michigan,PF,Sophomore,81,Athletic Finisher,Mobile Big,
30,Dailyn Swain,Texas,SG/SF,Junior,81,Shot Creator,Wing Stopper,
31,Isaiah Evans,Duke,SF,Sophomore,79,Shot Creator,Wing Stopper,
32,Ebuka Okorie,Stanford,PG,Freshman,80,Primary Ball Handler,Point of Attack,
33,Meleek Thomas,Arkansas,SG/PG,Freshman,79,Secondary Ball Handler,Point of Attack,
34,Aday Mara,Michigan,C,Junior,80,Versatile Big,Mobile Big,
35,Henri Veesaar,North Carolina,C,Junior,79,Stretch Big,Mobile Big,
36,Alijah Arenas,USC,SG,Freshman,76,Stationary Shooter,Chaser,
37,Flory Bidunga,Kansas,C,Sophomore,78,Athletic Finisher,Anchor Big,
38,Sergio de Larrea,Valencia,PG/SG,International,80,Secondary Ball Handler,Chaser,
39,Zuby Ejiofor,St. John's,PF,Senior,79,Roll + Cut Big,Anchor Big,
40,Alex Karaban,UConn,SF/PF,Senior,76,Stretch Big,Helper,
41,Braden Smith,Purdue,PG,Senior,77,Primary Ball Handler,Point of Attack,
42,Motiejus Krivas,Arizona,C,Junior,77,Roll + Cut Big,Anchor Big,
43,Juke Harris,Wake Forest,SG,Sophomore,76,Shot Creator,Chaser,
44,Richie Saunders,BYU,SG,Senior,77,Movement Shooter,Chaser,
45,Tarris Reed Jr.,UConn,C,Senior,77,Roll + Cut Big,Anchor Big,
46,JT Toppin,Texas Tech,PF,Junior,76,Versatile Big,Mobile Big,
47,Dash Daniels,Melbourne,SG,International,77,Movement Shooter,Chaser,
48,Alex Condon,Florida,PF/C,Junior,75,Stretch Big,Mobile Big,
49,Ryan Conwell,Louisville,SG,Senior,75,Off Screen Shooter,Chaser,
50,Jaden Bradley,Arizona,PG,Senior,74,Primary Ball Handler,Point of Attack,
51,Pryce Sandfort,Nebraska,SF,Junior,74,Movement Shooter,Wing Stopper,
52,Rueben Chinyelu,Florida,C,Junior,74,Roll + Cut Big,Anchor Big,
53,JoJo Tugler,Houston,PF,Junior,75,Athletic Finisher,Mobile Big,
54,Milan Momcilovic,Iowa State,SF/PF,Junior,73,Shot Creator,Helper,
55,Bruce Thornton,Ohio State,PG,Senior,74,Primary Ball Handler,Point of Attack,
56,Emanuel Sharp,Houston,SG,Senior,72,Off Screen Shooter,Chaser,
57,Paul McNeil Jr.,NC State,SG,Sophomore,71,Movement Shooter,Chaser,
58,Otega Oweh,Kentucky,SG,Senior,72,Slasher,Wing Stopper,
59,Tamin Lipsey,Iowa State,PG,Senior,72,Secondary Ball Handler,Point of Attack,
60,Trevon Brazile,Arkansas,PF,Senior,71,Stretch Big,Mobile Big,
61,Baba Miller,Cincinnati,SF,Senior,71,Versatile Big,Mobile Big,
62,Keyshawn Hall,Auburn,SF,Senior,71,Shot Creator,Wing Stopper,
63,Nate Bittle,Oregon,C,Senior,71,Stretch Big,Anchor Big,
64,Miles Byrd,San Diego State,SG,Junior,70,Movement Shooter,Chaser,
65,Zvonimir Ivisic,Illinois,C,Junior,69,Stretch Big,Mobile Big,
66,Milos Uzan,Houston,PG,Senior,68,Primary Ball Handler,Point of Attack,
67,Jeremy Fears Jr.,Michigan State,PG,Sophomore,70,Secondary Ball Handler,Point of Attack,
68,Darrion Williams,NC State,SF,Senior,68,Versatile Big,Wing Stopper,
69,Tomislav Ivisic,Illinois,C,Junior,68,Post Scorer,Mobile Big,
70,Mouhamed Faye,Reggio Emilia,C,International,69,Athletic Finisher,Anchor Big,
71,Dillon Mitchell,St. John's,SF,Senior,67,Athletic Finisher,Wing Stopper,
72,Andrej Stojakovic,Illinois,SG,Junior,67,Movement Shooter,Chaser,
73,Tahaad Pettiford,Auburn,PG,Sophomore,67,Primary Ball Handler,Point of Attack,
74,Kylan Boswell,Illinois,PG,Senior,66,Secondary Ball Handler,Helper,
75,Coen Carr,Michigan State,SF/PF,Junior,66,Athletic Finisher,Mobile Big,
76,Tucker DeVries,Indiana,SG/SF,Senior,66,Movement Shooter,Chaser,
77,KJ Lewis,Georgetown,SG,Junior,66,Shot Creator,Chaser,
78,Malik Reneau,Miami,PF,Senior,67,Post Scorer,Mobile Big,
79,Mark Mitchell,Missouri,SF/PF,Senior,66,Versatile Big,Wing Stopper,
80,Solo Ball,UConn,SG,Junior,64,Movement Shooter,Chaser,
81,Michael Ruzic,Joventut,PF,International,65,Stretch Big,Helper,
