Rank,Name,School,Pos,Year,Grade,Offensive Archetype,Defensive Role,Notes
1,Cameron Boozer,Duke,PF,Freshman,93,Shot Creator,Wing Stopper,
2,Darryn Peterson,Kansas,SG/PG,Freshman,88,Shot Creator,Helper,
3,AJ Dybantsa,BYU,SF,Freshman,88,Shot Creator,Helper,
4,Caleb Wilson,North Carolina,SF/PF,Freshman,89,Shot Creator,Mobile Big,
5,Kingston Flemings,Houston,PG,Freshman,87,Athletic Finisher,Helper,
6,Darius Acuff,Arkansas,PG,Freshman,91,Shot Creator,Helper,
7,Keaton Wagler,Illinois,SG/PG,Freshman,87,Shot Creator,Chaser,
8,Mikel Brown Jr.,Louisville,PG,Freshman,87,Shot Creator,Chaser,
9,Nate Ament,Tennessee,SF,Freshman,85,Shot Creator,Helper,
10,Brayden Burries,Arizona,SG/PG,Freshman,86,Shot Creator,Chaser,
11,Labaron Philon,Alabama,PG,Sophomore,87,Shot Creator,Helper,
12,Yaxel Lendeborg,Michigan,PF,Senior,86,Shot Creator,Mobile Big,
13,Hannes Steinbach,Washington,PF,Freshman,85,Shot Creator,Mobile Big,
14,Braylon Mullins,UConn,SG,Freshman,83,Movement Shooter,Chaser,
15,Thomas Haugh,Florida,PF,Junior,84,Shot Creator,Mobile Big,
16,Koa Peat,Arizona,PF,Freshman,83,Shot Creator,Mobile Big,
17,Karim López,New Zealand,SF,International,87,Shot Creator,Chaser,
18,Chris Cenac Jr.,Houston,PF/C,Freshman,82,Stationary Shooter,Wing Stopper,
19,Tounde Yessoufou,Baylor,SG/SF,Freshman,83,Shot Creator,Helper,
20,Jayden Quaintance,Kentucky,PF,Sophomore,81,Roll + Cut Big,Mobile Big,
21,Patrick Ngongba II,Duke,C,Sophomore,86,Roll + Cut Big,Anchor Big,
22,Bennett Stirtz,Iowa,PG,Senior,82,Shot Creator,Chaser,
23,Christian Anderson,Texas Tech,PG,Sophomore,85,Primary Ball Handler,Point of Attack,
24,Cameron Carr,Baylor,SG,Sophomore,85,Movement Shooter,Chaser,
25,Allen Graves,Santa Clara,PF,Freshman,85,Stretch Big,Helper,
26,Tyler Tanner,Vanderbilt,PG,Sophomore,82,Shot Creator,Helper,
