Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional,FG%,Dist.,2P,0-3,10-Mar,16-Oct,16-3P,3P,2P.1,0-3.1,3-10.1,10-16.1,16-3P.1,3P.1,2P.2,3P.2,%FGA,#,%3PA,3P%,Att.,Md.,-9999,FG,FGA,3PA,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Offensive Archetype,Defensive Role
1.0,Amen Thompson,23.0,HOU,PG,64.0,64.0,2371.0,18.3,0.581,0.122,0.373,8.7,14.1,11.4,20.8,2.0,1.5,14.1,20.2,4.6,2.9,7.5,0.152,1.3,0.9,2.2,2.5,,thompam01,0.519,8.1,0.878,0.363,0.336,0.115,0.063,0.122,0.56,0.752,0.47,0.34,0.34,0.223,0.495,0.957,0.186,145.0,0.583,0.233,1.0,0.0,thompam01,6.8,13.2,1.6,11.5,0.56,0.533,3.8,4.9,0.768,2.9,4.8,7.7,5.3,1.5,0.6,2.5,2.2,17.8,Primary Ball Handler,Point of Attack
2.0,Tyrese Maxey,25.0,PHI,PG,61.0,61.0,2334.0,22.6,0.589,0.406,0.279,0.8,11.3,5.9,29.7,2.6,2.0,9.0,29.9,5.6,2.4,8.0,0.164,5.3,0.5,5.8,4.5,AS,maxeyty01,0.461,15.0,0.594,0.235,0.193,0.093,0.073,0.406,0.521,0.672,0.43,0.411,0.418,0.373,0.386,0.594,0.021,26.0,0.072,0.359,0.0,0.0,maxeyty01,10.1,21.9,8.9,13.0,0.521,0.537,5.5,6.1,0.893,0.3,3.8,4.1,6.7,2.0,0.8,2.4,2.2,29.0,Shot Creator,Chaser
3.0,Kevin Durant,37.0,HOU,SF,63.0,63.0,2298.0,21.0,0.634,0.321,0.335,1.8,14.8,8.3,19.7,1.2,2.3,13.4,27.2,5.9,2.5,8.4,0.176,4.1,0.1,4.2,3.6,AS,duranke01,0.515,16.3,0.679,0.059,0.15,0.314,0.156,0.321,0.566,0.803,0.604,0.518,0.537,0.406,0.461,0.712,0.039,40.0,0.106,0.474,0.0,0.0,duranke01,9.2,17.8,5.7,12.1,0.566,0.58,5.3,6.0,0.886,0.6,4.9,5.5,4.5,0.8,0.9,3.2,1.9,26.0,Shot Creator,Helper
4.0,Mikal Bridges,29.0,NYK,SF,68.0,68.0,2280.0,15.7,0.587,0.429,0.101,3.3,10.3,6.8,16.3,2.0,2.5,7.6,17.5,4.1,3.0,7.1,0.149,1.5,1.6,3.1,3.0,,bridgmi01,0.49,14.9,0.571,0.208,0.141,0.169,0.053,0.429,0.576,0.769,0.487,0.471,0.386,0.376,0.678,0.985,0.037,29.0,0.444,0.424,0.0,0.0,bridgmi01,6.0,12.2,5.2,7.0,0.576,0.571,1.0,1.2,0.821,1.0,3.1,4.1,3.9,1.4,0.8,1.0,2.0,15.0,Movement Shooter,Point of Attack
5.0,Toumani Camara,25.0,POR,PF,67.0,67.0,2242.0,10.3,0.554,0.665,0.159,5.1,12.4,8.7,10.7,1.5,1.1,14.0,16.2,0.9,1.8,2.7,0.058,-1.6,-0.4,-2.0,0.0,,camarto01,0.423,18.1,0.335,0.156,0.152,0.022,0.006,0.665,0.568,0.732,0.44,0.313,0.5,0.349,0.642,0.892,0.047,31.0,0.299,0.287,0.0,0.0,camarto01,4.5,10.7,7.1,3.6,0.568,0.539,1.1,1.7,0.675,1.6,3.8,5.4,2.6,1.1,0.4,1.9,3.0,12.7,Stationary Shooter,Wing Stopper
6.0,Desmond Bane,27.0,ORL,SG,65.0,65.0,2228.0,17.3,0.61,0.346,0.274,3.9,9.6,6.7,19.6,1.5,1.2,10.6,23.4,4.2,2.1,6.3,0.137,1.8,-0.3,1.5,1.9,,banede01,0.49,13.3,0.654,0.229,0.26,0.1,0.065,0.346,0.543,0.683,0.478,0.51,0.359,0.389,0.52,0.765,0.001,1.0,0.186,0.413,0.0,0.0,banede01,7.4,15.1,5.2,9.9,0.543,0.557,3.8,4.1,0.922,1.2,2.9,4.2,4.2,1.0,0.4,2.0,3.1,20.6,Primary Ball Handler,Chaser
7.0,Julius Randle,31.0,MIN,PF,67.0,67.0,2213.0,18.7,0.585,0.295,0.398,5.8,17.1,11.6,23.3,1.5,0.6,13.0,26.3,4.0,2.4,6.4,0.14,1.5,-0.3,1.2,1.8,,randlju01,0.48,12.2,0.705,0.265,0.231,0.134,0.075,0.295,0.553,0.711,0.489,0.453,0.368,0.306,0.438,0.826,0.055,50.0,0.216,0.323,0.0,0.0,randlju01,7.3,15.2,4.5,10.7,0.553,0.525,5.0,6.1,0.818,1.7,5.2,6.9,5.1,1.1,0.2,2.7,2.8,20.9,Shot Creator,Helper
8.0,Jalen Brunson,29.0,NYK,PG,63.0,63.0,2196.0,20.1,0.581,0.367,0.289,1.4,9.6,5.5,30.5,1.0,0.3,9.4,30.4,5.6,1.9,7.5,0.164,4.1,-1.0,3.1,2.8,AS,brunsja01,0.464,15.4,0.633,0.116,0.215,0.203,0.098,0.367,0.514,0.653,0.471,0.48,0.516,0.377,0.217,0.577,0.0,0.0,0.17,0.43,0.0,0.0,brunsja01,9.3,20.0,7.4,12.7,0.514,0.533,4.9,5.8,0.841,0.5,3.0,3.5,6.6,0.7,0.1,2.3,2.3,26.3,Shot Creator,Low Activity
9.0,Scottie Barnes,24.0,TOR,PF,64.0,64.0,2192.0,18.8,0.573,0.207,0.261,6.5,19.4,12.8,23.6,2.0,4.4,14.0,23.8,2.4,3.6,5.9,0.13,1.3,2.0,3.4,2.9,AS,barnesc01,0.499,10.7,0.793,0.301,0.251,0.177,0.065,0.207,0.551,0.716,0.438,0.464,0.459,0.299,0.551,0.948,0.108,91.0,0.242,0.298,0.0,0.0,barnesc01,7.3,14.7,3.0,11.6,0.551,0.53,3.2,3.8,0.837,2.0,5.8,7.8,5.3,1.4,1.5,2.7,2.8,18.7,Shot Creator,Wing Stopper
10.0,Brandon Ingram,28.0,TOR,SF,64.0,64.0,2184.0,16.4,0.566,0.279,0.268,2.6,16.4,9.4,17.6,1.2,2.1,11.3,27.2,1.1,2.6,3.7,0.081,0.9,-0.6,0.4,1.3,AS,ingrabr01,0.47,14.9,0.721,0.148,0.129,0.266,0.177,0.279,0.507,0.718,0.373,0.491,0.451,0.375,0.445,0.93,0.036,32.0,0.241,0.527,0.0,0.0,ingrabr01,8.1,17.2,4.8,12.4,0.507,0.522,3.8,4.6,0.82,0.8,4.9,5.7,3.8,0.8,0.7,2.5,1.9,21.7,Shot Creator,Low Activity
