Rank,Prospect,Pos,Comp_Rank,Comp_Name,Comp_Pos,Comp_Off,Comp_Def,Similarity
1,Cameron Boozer,PF,1,Alperen Sengun,C,Shot Creator,Mobile Big,81.7
1,Cameron Boozer,PF,2,Anthony Davis,PF,Shot Creator,Mobile Big,78.6
1,Cameron Boozer,PF,3,Pascal Siakam,PF,Shot Creator,Wing Stopper,77.8
1,Cameron Boozer,PF,4,Bam Adebayo,C,Shot Creator,Mobile Big,77.8
1,Cameron Boozer,PF,5,Paolo Banchero,PF,Shot Creator,Wing Stopper,77.7
2,Darryn Peterson,SG/PG,1,Anthony Edwards,SG,Shot Creator,Chaser,86.8
2,Darryn Peterson,SG/PG,2,Kawhi Leonard,SF,Shot Creator,Wing Stopper,85.4
2,Darryn Peterson,SG/PG,3,Norman Powell,SG,Shot Creator,Chaser,82.7
2,Darryn Peterson,SG/PG,4,Dillon Brooks,SF,Shot Creator,Wing Stopper,81.2
2,Darryn Peterson,SG/PG,5,Shaedon Sharpe,SG,Shot Creator,Chaser,81.2
3,AJ Dybantsa,SF,1,Jaylen Brown,SF,Shot Creator,Helper,85.9
3,AJ Dybantsa,SF,2,Pascal Siakam,PF,Shot Creator,Wing Stopper,84.9
3,AJ Dybantsa,SF,3,Franz Wagner,SF,Shot Creator,Wing Stopper,83.7
3,AJ Dybantsa,SF,4,Julius Randle,PF,Shot Creator,Helper,83.3
3,AJ Dybantsa,SF,5,Paolo Banchero,PF,Shot Creator,Wing Stopper,82.5
4,Caleb Wilson,SF/PF,1,Jarrett Allen,C,Roll + Cut Big,Mobile Big,74.8
4,Caleb Wilson,SF/PF,2,Marvin Bagley III,PF,Roll + Cut Big,Mobile Big,73.1
4,Caleb Wilson,SF/PF,3,Anthony Davis,PF,Shot Creator,Mobile Big,72.7
4,Caleb Wilson,SF/PF,4,Trayce Jackson-Davis,C,Roll + Cut Big,Mobile Big,71.7
4,Caleb Wilson,SF/PF,5,Derik Queen,C,Shot Creator,Mobile Big,70.6
5,Kingston Flemings,PG,1,Jalen Williams,SG,Shot Creator,Helper,92.9
5,Kingston Flemings,PG,2,Dylan Harper,SG,Shot Creator,Point of Attack,86.7
5,Kingston Flemings,PG,3,Devin Carter,PG,Secondary Ball Handler,Point of Attack,86.4
5,Kingston Flemings,PG,4,Ajay Mitchell,SG,Primary Ball Handler,Point of Attack,86.2
5,Kingston Flemings,PG,5,Shaedon Sharpe,SG,Shot Creator,Chaser,84.3
6,Darius Acuff,PG,1,Jalen Williams,SG,Shot Creator,Helper,92.1
6,Darius Acuff,PG,2,Devin Booker,SG,Shot Creator,Helper,87.7
6,Darius Acuff,PG,3,Ajay Mitchell,SG,Primary Ball Handler,Point of Attack,86.2
6,Darius Acuff,PG,4,Keyonte George,PG,Primary Ball Handler,Chaser,85.8
6,Darius Acuff,PG,5,Donovan Mitchell,SG,Shot Creator,Helper,85.8
7,Keaton Wagler,SG/PG,1,RJ Barrett,SF,Movement Shooter,Helper,92.0
7,Keaton Wagler,SG/PG,2,Desmond Bane,SG,Primary Ball Handler,Chaser,90.4
7,Keaton Wagler,SG/PG,3,Austin Reaves,SG,Shot Creator,Chaser,89.2
7,Keaton Wagler,SG/PG,4,Bennedict Mathurin,SF,Secondary Ball Handler,Chaser,88.8
7,Keaton Wagler,SG/PG,5,Anthony Edwards,SG,Shot Creator,Chaser,86.4
8,Mikel Brown Jr.,PG,1,Donovan Mitchell,SG,Shot Creator,Helper,91.1
8,Mikel Brown Jr.,PG,2,Collin Sexton,SG,Primary Ball Handler,Point of Attack,90.9
8,Mikel Brown Jr.,PG,3,Keyonte George,PG,Primary Ball Handler,Chaser,90.2
8,Mikel Brown Jr.,PG,4,De'Aaron Fox,PG,Shot Creator,Point of Attack,89.1
8,Mikel Brown Jr.,PG,5,Dennis Schröder,PG,Shot Creator,Point of Attack,86.7
9,Nate Ament,SF,1,Franz Wagner,SF,Shot Creator,Wing Stopper,83.3
9,Nate Ament,SF,2,Jonathan Kuminga,PF,Shot Creator,Wing Stopper,81.7
9,Nate Ament,SF,3,Pascal Siakam,PF,Shot Creator,Wing Stopper,81.7
9,Nate Ament,SF,4,DeMar DeRozan,PF,Shot Creator,Helper,80.7
9,Nate Ament,SF,5,Bennedict Mathurin,SF,Secondary Ball Handler,Chaser,79.5
10,Brayden Burries,SG/PG,1,Ajay Mitchell,SG,Primary Ball Handler,Point of Attack,88.6
10,Brayden Burries,SG/PG,2,Jeremiah Fears,PG,Primary Ball Handler,Point of Attack,85.9
10,Brayden Burries,SG/PG,3,Norman Powell,SG,Shot Creator,Chaser,84.5
10,Brayden Burries,SG/PG,4,Bruce Brown,SG,Stationary Shooter,Point of Attack,82.2
10,Brayden Burries,SG/PG,5,Desmond Bane,SG,Primary Ball Handler,Chaser,81.8
11,Labaron Philon,PG,1,Donovan Mitchell,SG,Shot Creator,Helper,90.4
11,Labaron Philon,PG,2,Keyonte George,PG,Primary Ball Handler,Chaser,88.2
11,Labaron Philon,PG,3,Jamal Murray,PG,Shot Creator,Chaser,86.4
11,Labaron Philon,PG,4,Jalen Williams,SG,Shot Creator,Helper,85.6
11,Labaron Philon,PG,5,De'Aaron Fox,PG,Shot Creator,Point of Attack,84.9
12,Yaxel Lendeborg,PF,1,Jaren Jackson Jr.,C,Shot Creator,Helper,89.1
12,Yaxel Lendeborg,PF,2,Alex Sarr,C,Shot Creator,Mobile Big,84.9
12,Yaxel Lendeborg,PF,3,Evan Mobley,PF,Shot Creator,Mobile Big,84.7
12,Yaxel Lendeborg,PF,4,Anthony Davis,PF,Shot Creator,Mobile Big,84.5
12,Yaxel Lendeborg,PF,5,Karl-Anthony Towns,C,Shot Creator,Mobile Big,83.2
13,Hannes Steinbach,PF,1,Marvin Bagley III,PF,Roll + Cut Big,Mobile Big,84.3
13,Hannes Steinbach,PF,2,Anthony Davis,PF,Shot Creator,Mobile Big,81.2
13,Hannes Steinbach,PF,3,Karl-Anthony Towns,C,Shot Creator,Mobile Big,77.0
13,Hannes Steinbach,PF,4,Jarrett Allen,C,Roll + Cut Big,Mobile Big,73.5
13,Hannes Steinbach,PF,5,Jonas Valančiūnas,C,Post Scorer,Anchor Big,73.4
14,Braylon Mullins,SG,1,Aaron Wiggins,SG,Movement Shooter,Helper,92.4
14,Braylon Mullins,SG,2,Devin Vassell,SG,Movement Shooter,Chaser,88.4
14,Braylon Mullins,SG,3,Jaylon Tyson,SG,Movement Shooter,Chaser,87.7
14,Braylon Mullins,SG,4,Jaden Ivey,SG,Movement Shooter,Chaser,87.4
14,Braylon Mullins,SG,5,Tre Johnson,SG,Off Screen Shooter,Chaser,86.8
15,Thomas Haugh,PF,1,P.J. Washington,PF,Shot Creator,Wing Stopper,88.1
15,Thomas Haugh,PF,2,Peyton Watson,SF,Movement Shooter,Point of Attack,87.7
15,Thomas Haugh,PF,3,Keshad Johnson,SF,Shot Creator,Helper,83.8
15,Thomas Haugh,PF,4,Kyle Kuzma,PF,Movement Shooter,Wing Stopper,83.4
15,Thomas Haugh,PF,5,RJ Barrett,SF,Movement Shooter,Helper,83.0
16,Koa Peat,PF,1,Alperen Sengun,C,Shot Creator,Mobile Big,90.7
16,Koa Peat,PF,2,Marvin Bagley III,PF,Roll + Cut Big,Mobile Big,83.7
16,Koa Peat,PF,3,Paolo Banchero,PF,Shot Creator,Wing Stopper,82.6
16,Koa Peat,PF,4,Jarrett Allen,C,Roll + Cut Big,Mobile Big,80.0
16,Koa Peat,PF,5,Derik Queen,C,Shot Creator,Mobile Big,79.1
18,Chris Cenac Jr.,PF/C,1,Anthony Davis,PF,Shot Creator,Mobile Big,75.4
18,Chris Cenac Jr.,PF/C,2,John Collins,PF,Stationary Shooter,Helper,75.4
18,Chris Cenac Jr.,PF/C,3,Bam Adebayo,C,Shot Creator,Mobile Big,74.5
18,Chris Cenac Jr.,PF/C,4,Jalen Smith,C,Stretch Big,Mobile Big,74.0
18,Chris Cenac Jr.,PF/C,5,Nikola Vučević,C,Versatile Big,Mobile Big,74.0
19,Tounde Yessoufou,SG/SF,1,Shaedon Sharpe,SG,Shot Creator,Chaser,81.4
19,Tounde Yessoufou,SG/SF,2,Justin Champagnie,SF,Movement Shooter,Helper,78.8
19,Tounde Yessoufou,SG/SF,3,Dillon Brooks,SF,Shot Creator,Wing Stopper,78.2
19,Tounde Yessoufou,SG/SF,4,OG Anunoby,PF,Stationary Shooter,Wing Stopper,78.1
19,Tounde Yessoufou,SG/SF,5,Myron Gardner,SF,Movement Shooter,Helper,77.5
