Rank,Name,School,Pos,Grade,Offensive Archetype,Defensive Role,Notes,sr_url,sr_found,year_id,team_name_abbr,conf_abbr,class,pos,games,games_started,mp_per_g,fg_per_g,fga_per_g,fg_pct,fg3_per_g,fg3a_per_g,fg3_pct,fg2_per_g,fg2a_per_g,fg2_pct,efg_pct,ft_per_g,fta_per_g,ft_pct,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g,ts_pct,fg3a_per_fga_pct,fta_per_fga_pct,tov_pct
1,Cameron Boozer,Duke,PF,Freshman,Offensive Hub,Helper,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Darryn Peterson,Kansas,SG/PG,Freshman,Primary Ball Handler,Chaser,,https://www.sports-reference.com/cbb/players/darryn-peterson-1.html,1,2025-26,Kansas,Big 12,FR,G,24,23,29.0,6.5,14.8,.438,2.6,6.9,.382,3.9,8.0,.487,.527,4.5,5.5,.826,4.2,1.6,1.4,0.6,1.6,1.5,20.2,.578,.463,.371,8.3
3,AJ Dybantsa,BYU,SF,Freshman,Shot Creator,Wing Stopper,,https://www.sports-reference.com/cbb/players/aj-dybantsa-1.html,1,2025-26,BYU,Big 12,FR,F,35,35,34.8,8.8,17.3,.510,1.4,4.2,.331,7.4,13.0,.568,.550,6.5,8.5,.774,6.8,3.7,1.1,0.3,3.1,1.2,25.5,.600,.245,.490,12.7
4,Caleb Wilson,North Carolina,SF/PF,Freshman,Athletic Finisher,Anchor Big,,https://www.sports-reference.com/cbb/players/caleb-wilson-1.html,1,2025-26,UNC,ACC,FR,F,24,24,31.3,7.1,12.3,.578,0.3,1.1,.259,6.8,11.1,.610,.590,5.4,7.5,.713,9.4,2.7,1.5,1.4,2.0,1.9,19.8,.626,.092,.616,11.0
5,Kingston Flemings,Houston,PG,Freshman,Primary Ball Handler,Chaser,,https://www.sports-reference.com/cbb/players/kingston-flemings-1.html,1,2025-26,Houston,Big 12,FR,G,37,37,31.7,6.0,12.6,.476,1.1,2.9,.387,4.9,9.7,.503,.520,2.9,3.5,.845,4.1,5.2,1.5,0.3,1.8,2.0,16.1,.563,.227,.277,11.1
6,Darius Acuff,Arkansas,PG,Freshman,Primary Ball Handler,Point of Attack,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Keaton Wagler,Illinois,SG/PG,Freshman,Stationary Shooter,Helper,,https://www.sports-reference.com/cbb/players/keaton-wagler-1.html,1,2025-26,Illinois,Big Ten,FR,G,36,36,33.8,5.4,12.2,.445,2.4,5.8,.407,3.1,6.4,.480,.542,4.7,5.9,.796,5.0,4.3,0.9,0.4,1.8,1.9,17.9,.597,.477,.482,10.5
8,Mikel Brown Jr.,Louisville,PG,Freshman,Shot Creator,Chaser,,https://www.sports-reference.com/cbb/players/mikel-brown-jr-1.html,1,2025-26,Louisville,ACC,FR,G,21,19,29.2,5.3,13.0,.410,2.6,7.6,.344,2.7,5.4,.504,.511,4.9,5.8,.844,3.3,4.7,1.2,0.1,3.1,1.6,18.2,.577,.586,.447,16.4
9,Nate Ament,Tennessee,SF,Freshman,Stationary Shooter,Helper,,https://www.sports-reference.com/cbb/players/nate-ament-1.html,1,2025-26,Tennessee,SEC,FR,F,35,35,29.7,4.9,12.3,.399,1.3,3.9,.333,3.6,8.3,.430,.452,5.6,7.1,.790,6.3,2.3,1.0,0.6,2.3,2.0,16.7,.534,.322,.578,12.6
10,Brayden Burries,Arizona,SG/PG,Freshman,Movement Shooter,Point of Attack,,https://www.sports-reference.com/cbb/players/brayden-burries-1.html,1,2025-26,Arizona,Big 12,FR,G,38,38,29.6,5.4,10.8,.500,1.8,4.4,.402,3.6,6.4,.568,.583,3.5,4.3,.806,4.9,2.5,1.5,0.2,1.5,2.0,16.1,.625,.410,.400,10.2
