Name,Pos,BB_Rank,P_Star,P_Starter,P_Bench,P_Cut,EV,ML_Rank
Cameron Boozer,PF,1,55.7,34.4,8.6,1.2,3.447,1
Kingston Flemings,PG,5,57.4,28.7,12.1,1.8,3.418,2
AJ Dybantsa,SF,3,55.6,29.6,12.3,2.4,3.384,3
Caleb Wilson,SF/PF,4,54.2,31.1,10.8,4.0,3.355,4
Keaton Wagler,SG/PG,7,53.3,28.7,13.1,4.9,3.303,5
Darryn Peterson,SG/PG,2,49.2,32.4,10.3,8.1,3.227,6
Yaxel Lendeborg,PF,12,45.7,29.5,18.2,6.6,3.143,7
Nate Ament,SF,9,42.4,33.3,17.3,6.9,3.114,8
Darius Acuff,PG,6,35.8,38.4,19.9,5.9,3.04,9
Koa Peat,PF,16,38.7,29.0,22.5,9.8,2.967,10
Labaron Philon,PG,11,28.6,44.7,19.6,7.1,2.947,11
Thomas Haugh,PF,15,36.8,29.2,21.8,12.3,2.904,12
Mikel Brown Jr.,PG,8,29.9,40.4,19.6,10.1,2.901,13
Joshua Jefferson,PF/SF,28,38.1,24.3,25.1,12.6,2.878,14
Brayden Burries,SG/PG,10,29.4,36.0,24.8,9.8,2.85,15
Hannes Steinbach,PF,13,25.7,35.4,27.1,11.7,2.751,16
Zuby Ejiofor,PF,39,37.2,14.8,30.0,18.0,2.712,17
Tyler Tanner,PG,26,28.1,29.1,27.7,15.1,2.703,18
Tarris Reed Jr.,C,45,29.8,18.6,33.0,18.5,2.598,19
Dailyn Swain,SG/SF,30,25.2,26.4,31.2,17.3,2.594,20
Ebuka Okorie,PG,32,27.9,22.6,30.1,19.3,2.593,21
Morez Johnson Jr.,PF,29,21.7,29.1,30.5,18.8,2.536,22
Bennett Stirtz,PG,22,15.6,33.9,35.3,15.1,2.501,23
Henri Veesaar,C,35,22.8,21.7,35.5,20.0,2.472,24
Alijah Arenas,SG,36,19.4,26.2,32.4,22.0,2.43,25
KJ Lewis,SG,77,25.4,15.9,34.0,24.7,2.421,26
Tounde Yessoufou,SG/SF,19,14.9,32.2,32.8,20.1,2.419,27
Braylon Mullins,SG,14,13.0,32.4,36.2,18.3,2.401,28
Chris Cenac Jr.,PF/C,18,11.6,33.5,36.7,18.1,2.387,29
Aday Mara,C,34,21.2,17.7,39.3,21.8,2.383,30
Alex Condon,PF/C,48,24.8,13.2,35.9,26.1,2.367,31
Malik Reneau,PF,78,18.2,23.6,34.2,24.0,2.359,32
Keyshawn Hall,SF,62,20.1,20.9,33.5,25.5,2.357,33
Jayden Quaintance,PF,20,13.5,32.3,30.0,24.2,2.351,34
Tahaad Pettiford,PG,73,9.7,34.0,32.7,23.7,2.296,35
Braden Smith,PG,41,10.0,27.7,42.8,19.5,2.282,36
Bruce Thornton,PG,55,17.2,20.5,35.5,26.8,2.28,37
JT Toppin,PF,46,11.2,31.0,31.0,26.8,2.267,38
Meleek Thomas,SG/PG,33,11.9,25.2,38.3,24.6,2.245,39
Alex Karaban,SF/PF,40,9.4,28.4,38.1,24.1,2.231,40
Flory Bidunga,C,37,7.9,30.9,36.9,24.2,2.225,41
Dillon Mitchell,SF,71,10.3,25.1,38.0,26.5,2.192,42
Motiejus Krivas,C,42,7.7,25.3,43.0,23.9,2.169,43
Baba Miller,SF,61,13.9,16.8,41.7,27.6,2.169,44
Tucker DeVries,SG/SF,76,13.4,16.1,42.9,27.6,2.153,45
Otega Oweh,SG,58,6.2,29.8,35.6,28.5,2.137,46
Richie Saunders,SG,44,7.0,22.6,46.6,23.9,2.126,47
Darrion Williams,SF,68,8.6,22.8,41.0,27.5,2.125,48
Juke Harris,SG,43,9.7,23.1,35.9,31.3,2.113,49
Isaiah Evans,SF,31,8.7,23.8,37.3,30.1,2.112,50
Ryan Conwell,SG,49,6.6,22.9,42.3,28.3,2.078,51
Jaden Bradley,PG,50,10.8,15.5,44.1,29.5,2.077,52
Rueben Chinyelu,C,52,6.6,24.4,37.1,32.0,2.055,53
Tomislav Ivisic,C,69,7.4,17.1,47.5,28.1,2.037,54
Tamin Lipsey,PG,59,11.0,14.3,42.0,32.7,2.035,55
Milos Uzan,PG,66,7.2,16.4,47.1,29.4,2.014,56
Pryce Sandfort,SF,51,5.0,20.3,45.5,29.2,2.011,57
Trevon Brazile,PF,60,6.1,20.9,39.9,33.0,2.001,58
Emanuel Sharp,SG,56,6.2,15.0,48.5,30.4,1.969,59
Milan Momcilovic,SF/PF,54,4.4,17.3,44.0,34.3,1.919,60
Miles Byrd,SG,64,3.2,15.6,47.4,33.7,1.884,61
Solo Ball,SG,80,4.7,14.4,44.0,36.9,1.87,62
Andrej Stojakovic,SG,72,8.5,14.2,31.2,46.1,1.852,63
Coen Carr,SF/PF,75,5.0,12.8,36.5,45.7,1.772,64
Kylan Boswell,PG,74,6.3,12.3,31.8,49.5,1.755,65
Zvonimir Ivisic,C,65,3.0,14.8,34.5,47.7,1.731,66
Paul McNeil Jr.,SG,57,3.1,14.0,33.4,49.4,1.709,67
