Name,Offensive Archetype,Defensive Role
Cameron Boozer,Shot Creator,Wing Stopper
Darryn Peterson,Shot Creator,Helper
AJ Dybantsa,Shot Creator,Helper
Caleb Wilson,Shot Creator,Mobile Big
Kingston Flemings,Primary Ball Handler,Chaser
Darius Acuff,Shot Creator,Helper
Keaton Wagler,Shot Creator,Chaser
Mikel Brown Jr.,Shot Creator,Chaser
Nate Ament,Movement Shooter,Helper
Brayden Burries,Secondary Ball Handler,Wing Stopper
Labaron Philon,Secondary Ball Handler,Chaser
Yaxel Lendeborg,Stationary Shooter,Wing Stopper
Hannes Steinbach,Roll + Cut Big,Helper
Braylon Mullins,Movement Shooter,Chaser
Thomas Haugh,Shot Creator,Mobile Big
Koa Peat,Roll + Cut Big,Helper
Karim López,Roll + Cut Big,Helper
Chris Cenac Jr.,Roll + Cut Big,Mobile Big
Tounde Yessoufou,Shot Creator,Helper
Jayden Quaintance,Roll + Cut Big,Anchor Big
Patrick Ngongba II,Roll + Cut Big,Anchor Big
Bennett Stirtz,Movement Shooter,Helper
Christian Anderson,Secondary Ball Handler,Helper
Cameron Carr,Movement Shooter,Chaser
Allen Graves,Stationary Shooter,Helper
Tyler Tanner,Shot Creator,Helper
Amari Allen,Movement Shooter,Chaser
Joshua Jefferson,Shot Creator,Wing Stopper
Morez Johnson Jr.,Roll + Cut Big,Mobile Big
Dailyn Swain,Secondary Ball Handler,Chaser
Isaiah Evans,Movement Shooter,Helper
Ebuka Okorie,Secondary Ball Handler,Point of Attack
Meleek Thomas,Movement Shooter,Chaser
Aday Mara,Roll + Cut Big,Anchor Big
Henri Veesaar,Stationary Shooter,Helper
Alijah Arenas,Movement Shooter,Helper
Flory Bidunga,Roll + Cut Big,Mobile Big
Sergio de Larrea,Secondary Ball Handler,Helper
Zuby Ejiofor,Shot Creator,Mobile Big
Alex Karaban,Movement Shooter,Wing Stopper
Braden Smith,Primary Ball Handler,Point of Attack
Motiejus Krivas,Roll + Cut Big,Mobile Big
Juke Harris,Shot Creator,Helper
Richie Saunders,Shot Creator,Chaser
Tarris Reed Jr.,Roll + Cut Big,Mobile Big
JT Toppin,Shot Creator,Mobile Big
Dash Daniels,Movement Shooter,Chaser
Alex Condon,Roll + Cut Big,Mobile Big
Ryan Conwell,Movement Shooter,Helper
Jaden Bradley,Athletic Finisher,Chaser
Pryce Sandfort,Movement Shooter,Wing Stopper
Rueben Chinyelu,Roll + Cut Big,Mobile Big
JoJo Tugler,Athletic Finisher,Mobile Big
Milan Momcilovic,Movement Shooter,Helper
Bruce Thornton,Shot Creator,Chaser
Emanuel Sharp,Movement Shooter,Chaser
Paul McNeil Jr.,Movement Shooter,Helper
Otega Oweh,Shot Creator,Helper
Tamin Lipsey,Shot Creator,Helper
Trevon Brazile,Shot Creator,Mobile Big
Baba Miller,Shot Creator,Helper
Keyshawn Hall,Shot Creator,Helper
Nate Bittle,Stretch Big,Anchor Big
Miles Byrd,Shot Creator,Chaser
Zvonimir Ivisic,Stretch Big,Mobile Big
Milos Uzan,Primary Ball Handler,Chaser
Jeremy Fears Jr.,Secondary Ball Handler,Point of Attack
Darrion Williams,Shot Creator,Chaser
Tomislav Ivisic,Stationary Shooter,Mobile Big
Mouhamed Faye,Athletic Finisher,Anchor Big
Dillon Mitchell,Shot Creator,Point of Attack
Andrej Stojakovic,Shot Creator,Helper
Tahaad Pettiford,Primary Ball Handler,Helper
Kylan Boswell,Primary Ball Handler,Chaser
Coen Carr,Shot Creator,Helper
Tucker DeVries,Movement Shooter,Chaser
KJ Lewis,Shot Creator,Helper
Malik Reneau,Shot Creator,Anchor Big
Mark Mitchell,Versatile Big,Wing Stopper
Solo Ball,Movement Shooter,Wing Stopper
Michael Ruzic,Stretch Big,Helper
